depth,d18o
345.17,-3.49
345.48,-2.42
346.82,-3.03
347.06,-3.04
349.04,-4.24
349.19,-3.37
349.44,-3.56
349.65,-3.82
349.83,-4.05
350.05,-4.06
350.26,-4.06
350.44,-3.96
350.66,-3.9
350.87,-4.25
351.3,-4.22
351.51,-4
351.72,-3.83
352.18,-4.5
352.39,-4.26
352.61,-4.28
352.82,-4.16
353.03,-4.24
353.25,-4.03
353.61,-3.34
353.8,-3.7
353.95,-4.31
354.1,-4.49
354.25,-2.59
354.41,-4.2
354.56,-3.94
354.71,-4.21
354.86,-3.87
354.99,-4.01
355.14,-4.19
355.26,-4.04
355.53,-3.81
355.63,-3.83
355.72,-4.21
355.84,-2.9
355.93,-3.97
356.02,-3.71
356.11,-3.67
356.2,-3.72
356.3,-3.85
356.39,-4.1
356.45,-3.87
356.69,-3.87
356.84,-3.62
356.97,-3.66
357.03,-3.42
357.12,-3.54
357.21,-3.69
357.39,-2.87
357.49,-3.05
357.58,-1.65
357.76,-2.68
357.85,-2.84
357.91,-2.89
358.22,-1.52
358.49,-2.77
358.64,-2.36
358.83,-2.7
